"probeID"	"GeneSymbol"
"11715271_s_at"	"DUX4L14"
"11715271_s_at"	"DUX4L15"
"11715271_s_at"	"DUX4L2"
"11715271_s_at"	"DUX4L20"
"11715271_s_at"	"DUX4L21"
"11715271_s_at"	"DUX4L22"
"11715271_s_at"	"DUX4L23"
"11715271_s_at"	"DUX4L24"
"11715271_s_at"	"DUX4L25"
"11715271_s_at"	"DUX4L3"
"11715271_s_at"	"DUX4L4"
"11715271_s_at"	"DUX4L5"
"11715271_s_at"	"DUX4L6"
"11715271_s_at"	"DUX4L7"
"11715271_s_at"	"DUX4L8"
"11715272_s_at"	"UGT2B11"
"11715273_at"	"TPM2"
"11715274_x_at"	"TPM2"
"11715275_s_at"	"SSX1"
"11715276_s_at"	"AURKAIP1"
"11715277_s_at"	"AURKAIP1"
"11715278_s_at"	"AURKAIP1"
"11715279_x_at"	"PGAM4"
"11715280_s_at"	"KRT17"
"11715281_at"	"ASIP"
"11715282_s_at"	"CGB"
"11715282_s_at"	"CGB1"
"11715282_s_at"	"CGB2"
"11715282_s_at"	"CGB5"
"11715282_s_at"	"CGB7"
"11715282_s_at"	"CGB8"
"11715283_at"	"CCKAR"
"11715284_x_at"	"C15orf40"
"11715285_at"	"C15orf40"
"11715286_x_at"	"C15orf40"
"11715287_at"	"C15orf40"
"11715288_s_at"	"CASP14"
"11715289_s_at"	"AGRP"
"11715290_s_at"	"CLDN3"
"11715291_s_at"	"TBX5"
"11715292_at"	"ST8SIA1"
"11715293_s_at"	"TRPT1"
"11715294_s_at"	"HECTD2"
"11715295_s_at"	"CCL27"
"11715296_s_at"	"KRT33A"
"11715297_at"	"FXN"
"11715298_x_at"	"SH2D2A"
"11715299_s_at"	"PRAMEF8"
"11715300_s_at"	"SSX3"
"11715301_s_at"	"NOP16"
"11715358_x_at"	"CST3"
"11715359_a_at"	"TIMP1"
"11715360_x_at"	"TIMP1"
"11715361_a_at"	"ATP6V0E1"
"11715362_at"	"ATP6V0E1"
"11715363_a_at"	"A2M"
"11715364_a_at"	"SPDEF"
"11715365_x_at"	"SPDEF"
"11715366_a_at"	"SEPT2"
"11715367_s_at"	"SEPT2"
"11715368_a_at"	"SERPING1"
"11715369_s_at"	"NDUFA4"
"11715370_s_at"	"LGALS3BP"
"11715371_a_at"	"UBA1"
"11715372_a_at"	"MDH1"
"11715373_a_at"	"TRIM28"
"11715374_a_at"	"CALR"
