"GeneSymbol" "logFC" "adj.P.Val"
"LPGAT1" 2.08557855593106 0.0153284398286759
"IGKV3-11" 2.07723550614489 0.666183588651404
"IGKV3D-11" 2.07723550614489 0.666183588651404
"SUB1" 2.07120719900292 0.00987712403185428
"PLAC8" 2.06643461628267 0.458026555329949
"LOC100190940" 2.05575219448412 0.385228895795761
"SLCO1B3" 2.05166246372232 0.633634249924859
"EIF2A" 2.04236069950067 3.30800356876452e-06
"CPVL" 2.02356938169874 0.278238623963638
"ASPN" 1.97154222792482 0.579617788623253
"TXLNGY" 1.9495668628218 0.433986420636934
"ADH1B" 1.93860263661291 0.562420462474125
"FAM46C" 1.93649116473678 0.501383463285468
"PRSS21" 1.93080944852894 0.216340373290341
"PON3" 1.88614993688703 0.457809468481237
"C3" 1.85485508221161 0.602659441349576
"NFIA" 1.8533103300744 0.0762890389515186
"GUCY1A3" 1.85263745465223 0.537235279786009
"MYH11" 1.82290880234208 0.392642997451685
"CLIC6" 1.80276820064821 0.447968961785591
"GBP1" 1.79248165318456 0.339580161879475
"MMP7" 1.78238205827438 0.675057003744975
"PAPSS2" 1.76638312243029 0.0982656728189762
"OXCT1" 1.7437087106497 0.364268502314952
"LOC102723906" 1.73287130696021 0.479387192439275
"CCDC109B" 1.72657961126393 0.153010875312802
"CASP1" 1.7185383601539 0.34159828228332
"XAF1" 1.71424645714068 0.425246023620398
"MS4A12" 1.70838024875221 0.718393916279925
"LIMCH1" 1.70160091942616 0.356137244854137
"TRPM4" 1.69258251592737 0.272068267834257
"CTSE" 1.68988901362502 0.626805197947032
"TLR4" 1.68973989055129 0.254717164059066
"EIF1AY" 1.66397572550102 0.515150785613547
"TMEM71" 1.66085729435193 0.461230040529595
"PTPRO" 1.65466572328907 0.467539083566321
"ACTG2" 1.64132944722102 0.603575176367588
"P2RY14" 1.64047375494578 0.385347662434699
"OGN" 1.63957594239801 0.538524535533145
"MUC4" 1.62313079489318 0.67813619838587
"FCRL5" 1.61375350954841 0.241000082738837
"IGLV3-10" 1.60961291509858 0.432678113404192
"EPHA3" 1.60679158895678 0.586928943524031
"DMBT1" 1.60500984131013 0.664910671217114
"FRY" 1.60299329930698 0.299002465787117
"FCGR3A" 1.59647998777642 0.503843596847596
"SAMD9" 1.57852280719334 0.410871781666046
"PTPRN2" 1.57550954340487 0.383077550947659
"CRIPAK" 1.57247520980431 0.0825060633942978
"PLEKHA6" 1.56785469753343 0.248701972019498
"GREM2" 1.55906126290087 0.371668269685711
"RBPMS" 1.55481511897238 0.157378694952441
"ALDH1A2" 1.55013106133807 0.690289733394242
"ASAH1" 1.54623551696146 0.065326083485041
"GNA14" 1.53816634383856 0.44466621772276
"P3H2" 1.51515231952071 0.464681888535744
"PF4" 1.51292499187305 0.544475242104845
"IDO1" 1.504063723475 0.618790281068923
"FOXA1" 1.49583314439755 0.720236456819942
"ZCCHC24" 1.4892880503156 0.297126414835253
"TRIM31" 1.47486714029141 0.439265039179722
"CTGF" 1.47290361194993 0.271074357049587
"FBLN1" 1.46904129959083 0.545521261901944
"COL14A1" 1.46778150415293 0.412915945257536
"SYNPO2" 1.46305495963605 0.447326813005833
"RHBDL2" 1.46243581874209 0.648595924625208
"IRS2" 1.45702854643911 0.387540481390913
"FZD8" 1.4567846861851 0.239629327561187
"CCL28" 1.45504718996087 0.545521261901944
"PFKFB2" 1.45471161391555 0.40241406058558
"CXCL10" 1.45446412552691 0.667337904776905
"WASF3" 1.45434345418294 0.421460027856316
"TINAG" 1.45221504109525 0.378100308787371
"TRIM22" 1.45053292342562 0.43113882254772
"EIF4E3" 1.45037445955319 0.328388207143424
"IFI44" 1.44958721302013 0.536474818244046
"ABI3BP" 1.4484614365718 0.556783814171064
"ANKRD36" 1.43906830756864 0.430939069855521
"ANKRD36B" 1.43906830756864 0.430939069855521
"KIAA0319" 1.43750634496022 0.0104748973157233
"TGM2" 1.43735051295879 0.376368849312884
"GLRX" 1.42932643970313 0.318832426585763
