ID	gene_symbol	n
11722824_x_at	PSG5	2
11722857_a_at	FBXO16	2
11722857_a_at	ZNF395	2
11722886_s_at	EMB	2
11722886_s_at	EMBP1	2
11722903_s_at	GSTT2	2
11722903_s_at	GSTT2B	2
11722948_a_at	CDRT4	2
11722948_a_at	TVP23C-CDRT4	2
11722961_s_at	VCY	2
11722961_s_at	VCY1B	2
11722994_s_at	ADH1A	3
11722994_s_at	ADH1B	3
11722994_s_at	ADH1C	3
11723007_a_at	CCPG1	2
11723007_a_at	DYX1C1-CCPG1	2
11723045_x_at	FRG1	8
11723045_x_at	FRG1BP	8
11723045_x_at	FRG1CP	8
11723045_x_at	FRG1DP	8
11723045_x_at	FRG1EP	8
11723045_x_at	LOC101930531	8
11723045_x_at	LOC102723780	8
11723045_x_at	LOC102724813	8
11723067_s_at	FAM21A	2
11723067_s_at	FAM21C	2
11723079_at	C2orf47	2
11723079_at	C2orf69	2
11723089_s_at	CXorf40A	2
11723089_s_at	CXorf40B	2
11723116_a_at	RAD51L3-RFFL	2
11723116_a_at	RFFL	2
11723194_x_at	HLA-DRB1	4
11723194_x_at	HLA-DRB3	4
11723194_x_at	HLA-DRB4	4
11723194_x_at	LOC105369230	4
11723253_a_at	SCNM1	2
11723253_a_at	TNFAIP8L2-SCNM1	2
11723297_a_at	AKAP2	2
11723297_a_at	PALM2-AKAP2	2
11723322_s_at	DDX11	3
11723322_s_at	DDX12P	3
11723322_s_at	LOC642846	3
11723376_a_at	GCOM1	2
11723376_a_at	MYZAP	2
11723417_s_at	HSP90AB1	2
11723417_s_at	HSP90AB3P	2
11723428_s_at	RPL13	2
11723428_s_at	RPL13P12	2
11723430_a_at	ZFP91	2
11723430_a_at	ZFP91-CNTF	2
11723493_a_at	SYNGAP1	2
11723493_a_at	ZBTB9	2
11723613_s_at	SERHL	2
11723613_s_at	SERHL2	2
11723654_s_at	CFC1	2
11723654_s_at	CFC1B	2
11723656_s_at	DDX19A	2
11723656_s_at	DDX19B	2
11723691_at	CD302	2
11723691_at	LY75-CD302	2
11723693_s_at	TMEM183A	2
11723693_s_at	TMEM183B	2
11723698_a_at	OAS2	2
11723698_a_at	OAS3	2
11723726_s_at	USP32P1	2
11723726_s_at	USP32P2	2
11723749_a_at	FPGT-TNNI3K	2
11723749_a_at	TNNI3K	2
11723973_at	CHST12	2
11723973_at	LOC101927181	2
11724073_a_at	LOC102724991	3
11724073_a_at	LOC102725016	3
11724073_a_at	PPP2R3B	3
11724089_a_at	MXD3	2
11724089_a_at	RAB24	2
11724092_s_at	SLC35E2	2
11724092_s_at	SLC35E2B	2
11724103_x_at	C8orf44-SGK3	2
11724103_x_at	SGK3	2
11724107_s_at	MRPS31P5	2
11724107_s_at	THSD1	2
11724303_a_at	COG8	2
11724303_a_at	PDF	2
11724342_s_at	LGALS7	2
